last_name,first_name,full_name,aka,dob,dod,films_appeared,films_directed,films_produced,films_camerawork
Brown,N.,N. Brown,,,,Deceit,,,
Brown,Edward,Edward Brown,Eddie Brown,,,The Gunsaulus Mystery,,,
Brown,Margaret,Margaret Brown,,,,A Son of Satan,,,
Brown,Frank,Frank Brown,,,,Why Worry?,,,
Brown,Roberta,Roberta Brown,,,,The Midnight Ace,,,
Brown,Everett,Everett Brown,,,,,,,
Brown ,R.L.,R.L. Brown ,,,,"The Flying Ace,Regeneration,Black Gold",,,
Bruckner,August,August Bruckner,,,,,Samba,,
Burns,Sandy,Sandy Burns,,,,His Great Chance,,,
Burns,Fannette,Fannette Burns,,,,His Great Chance,,,
Burris,Jim,Jim Burris,,1/1/1878,6/8/23,"The Sport of the Gods,The Symbol of the Unconquered",,,
Burroughs,James,James Burroughs,,,,The Symbol of the Unconquered,,,
Burton,Russell A.,Russell A. Burton,,,,,,"A Daughter of the Congo,Easy Street",
Burton,John,John Burton,,,,The Flames of Wrath,,,
Burton-Hyman,Marie,Marie Burton-Hyman,,,,"The Accidental Ruler,The Grafter and the Maid",,,
Burwell,Myra,Myra Burwell,,,,Ten Nights in a Bar-Room ,,,
Bush,Anita,Anita Bush,,,2/19/74,"The Bull-Dogger,The Crimson Skull",,,
Butler,William,William Butler,,,,The Flaming Crisis,,,
Bynum,W.C.,W.C. Bynum,,,,,,,
Byrd,Joe,Joe Byrd,,,,A Daughter of the Congo,,,
Byrd,Anthony,Anthony Byrd,,,,The Eyes of Mystery,,,
Byron,Lillian,Lillian Byron,,,,Dark and Cloudy,,,
Calnek,Roy,Roy Calnek,,,,,"Hearts of the Woods,A Prince of His Race,Ten Nights in a Bar-Room ,Children of Fate",Smiling Hate,
Carey,James,James Carey,,,,Deceit,,,
Carey,Sadie,Sadie Carey,,,,Deceit,,,
Carise,Erna,Erna Carise,,,,The Revue des Revues,,,
Carpenter,William,William Carpenter,,,,,,,
Carrols,Vivian,Vivian Carrols,Vivian Quarles,,,A Modern Cain,,,
Carter,Barrington,Barrington Carter,Harington Garter,,,Thirty Years Later,,,
Carter,Frank,Frank Carter,,,,Foolish Lives,,,
Carter,Bruxton,Bruxton Carter,,,,Lovie Joe's Romance,,,
Cartlett,Big Sid,Big Sid Cartlett,,,,Boy What a Girl,,,
Catlin,George,George Catlin,,,,The Symbol of the Unconquered,,,
Chatman,Frank,Frank Chatman,,,,Foolish Lives,,,
Chenault,Lawrence,Lawrence Chenault,,11/23/1877,,"The Burden of Race,Body and Soul,The Bull-Dogger,The Crimson Skull,Within Our Gates,The Scar of Shame,The Secret Sorrow,The Schemers,The Sport of the Gods,The Call of His People,Spitfire,Birthright,Children of Fate,The Devil's Disciple,The Brute,The Symbol of the Unconquered,The Gunsaulus Mystery,A Son of Satan,The House Behind the Cedars,The Conjure Woman,A Prince of His Race,Ten Nights in a Bar-Room ",,,
Chenault,Jack,Jack Chenault,,,,Within Our Gates,,,
Chesnutt,Charles,Charles Chesnutt,,,,,,,
Chester,Slick,Slick Chester,,,,Temptation,,,
Chester,Marie,Marie Chester,,,,The Flaming Crisis,,,
Childers,Helen,Helen Childers,,,,By Right of Birth,,,
Chrisander,Nils Olaf,Nils Olaf Chrisander,,,,,Fighting Love,,
Christian,Hattie,Hattie Christian,,,,The Gunsaulus Mystery,,,
Clark,William H.,William H. Clark,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,
Clayton,William,William Clayton,,1/1/1897,,"Smiling Hate,When Men Betray,Children of Fate,Easy Street,The Broken Violin,The Wages of Sin,A Prince of His Race,Ten Nights in a Bar-Room ",,,
Clements,Flo,Flo Clements,,,,"Within Our Gates,The Brute",,,
Clements,Stebeno,Stebeno Clements,,,,The Law of Nature,,,
Clifford,J. Williams,J. Williams Clifford,Lieut. J. Williams Clifford,,,,,A Day in the Nation's Capital,
Clifford,William H.,William H. Clifford,W.H. Clifford; Clifford Williams,1/1/1874,10/9/38,,,,
Clough,Inez,Inez Clough,,,,"The Secret Sorrow,Ties of Blood,The Simp,Easy Money",,,
Cohen,Octavus,Octavus Cohen,,,,,,The Florian Slappey Series,
Colbert,Frank,Frank Colbert,,,,The Flames of Wrath,,,
Coldwell,J.,J. Coldwell,,,,Deceit,,,
Cole,Celeste,Celeste Cole,,,,The Exile,,,
Coleman,Ronald,Ronald Coleman,,,,Arrowsmith,,,
Coleman,J.W.,J.W. Coleman,,,,,,,
Colvin,George,George Colvin,,,,The Flying Ace,,,
Conn,Irene,Irene Conn,,,,In the Depths of Our Hearts,,,
Conners,Mrs.,Mrs. Conners,,,,A Man's Duty,,,
Conrad,William,William Conrad,,,,,,The Assignment,
Cook,Sam,Sam Cook,,,,Spitfire,,,
Cook,Jimmie,Jimmie Cook,,,,Within Our Gates,,,
Cook,Louise,Louise Cook,,,,The Exile,,,
Cooke,Earl Brown,Earl Brown Cooke,,,,The Dungeon,,,
Cooper,Kinky,Kinky Cooper,,,,The Grafter and the Maid,,,
Cooper,Ralph,Ralph Cooper,,,,Bargain with Bullets,,,
Cornell,Ann,Ann Cornell,,,,Boy What a Girl,,,
Cornick,Walter,Walter Cornick,Walter Cormick,,,"Body and Soul,The Midnight Ace",,,
Cox,Jimmie,Jimmie Cox,,,,The Disappearance of Mary Jane,,,
Cox,Jewel,Jewel Cox,,,,Foolish Lives,,,
Crawford,Sam,Sam Crawford,,,,As the World Rolls On,,,
Criddle,Baltimore,Baltimore Criddle,,,,The Custard Nine,,,
Criner,J. Lawrence,J. Lawrence Criner,John Lawrence Criner,6/19/1898,1/1/65,"The Flying Ace,Black Gold,The Millionaire,The Brute,Oft in the Silly Night",,,
Criner,Jeanette,Jeanette Criner,,,,A Man's Duty,,,
Criner,John,John Criner,,,,,,,
Crockett,J.,J. Crockett,,,,The $10000 Trail,,,
Crosby,Orma,Orma Crosby,,,,The Schemers,,,
Crowell,T.C.,T.C. Crowell,,,,Birthright,,,
Crowell,W.F.,W.F. Crowell,,,8/1/29,The Dungeon,,,
Custard,Virgil,Virgil Custard,,,,The Custard Nine,,,
Cutler,Marty,Marty Cutler,,,,The Brute,,,
Cyrus,S.,S. Cyrus,,,,,,,
Dabney,Ardelle,Ardelle Dabney,"Ardella Dabney, Adelle Dabney",,,"Thirty Years Later,The Broken Violin,The Wages of Sin",,,
Daly,William,William Daly,,,,,,,
Daniels,Lyons,Lyons Daniels,,,,The Flying Ace,,,
Darden,Tasmania,Tasmania Darden,,,,A Man's Duty,,,
David,N.C.,N.C. David,,,,,A Reckless Rover,,
Davis,A. Porter,A. Porter Davis,Dr. A. Porter Davis,,,The Lure of a Woman,The Lure of a Woman,,
Davis,Marshall,Marshall Davis,,,,The Colored American Winning His Suit,,,
Dawson,Rudolph,Rudolph Dawson,,,,A Daughter of the Congo,,,
Day,War,War Day,,,,The Midnight Ace,,,
de Balzac,Jeanne,Jeanne de Balzac,,,,The Revue des Revues,,,
De Bulger,Louis,Louis De Bulger,Louis DeBulger,,,"Deceit,The Gunsaulus Mystery",,,
De Forest,Lee,Lee De Forest,Lee de Forrest,,,,Sissle and Blake,Sissle and Blake,
Deans,William,William Deans,,,,When Good Luck Comes Our Way,,When Good Luck Comes Our Way,
DeComathiere,A.B.,A.B. DeComathiere,"A.B. Comathiere, Abe Comathiere",11/19/1877,5/18/40,"The Brute,Thirty Years Later,Deceit,The Midnight Ace,The Exile",,,
DeLa Valade,Herman,Herman DeLa Valade,Herman DeLavalade,,,In the Depths of Our Hearts,,,
DeLegge,Boise,Boise DeLegge,,,,The Flying Ace,,,
Dempsey,Pauline,Pauline Dempsey,,,,The Eyes of Mystery,,,
Dennis,E.M.,E.M. Dennis,,,,The $10000 Trail,,,
Desmond,Cleo,Cleo Desmond,,1/1/1888,,"Deceit,The Millionaire",,,
Diggs,Josiah,Josiah Diggs,,,,Spider's Web,,,
Dillon,W.H.,W.H. Dillon,,,,,,,
Dixon,Allen D.,Allen D. Dixon,,,,Deceit,,,
Dixon,Henry,Henry Dixon,,,,The Flaming Crisis,,,
Dixon,Gabrielle,Gabrielle Dixon,,,,The Revue des Revues,,,
Doanes,Sidney Preston,Sidney Preston Doanes,Sidney P. Doanes,1/1/1888,8/2/47,Loyal Hearts,,,
Doe,John,John Doe,,,,The Railroad Porter,,,
Dones,Sidney P.,Sidney P. Dones,,1/1/1888,1/1/47,"The $10000 Trail,Reformation,Loyal Hearts,My First Love",Loyal Hearts,The $10000 Trail,
Dorsey,D. A.,D. A. Dorsey,,,,,,Fighting His Way Thru,
Dove,Marie,Marie Dove,,,,A Son of Satan,,,
Downing,Henry Francis,Henry Francis Downing,,,,,,,
Dudley,Sherman,Sherman Dudley,Uncle Dud,,,"The Simp,Easy Money,Reckless Money","Easy Money,Reckless Money",Reckless Money,
Dudley,Mary,Mary Dudley,,,,,,,
Dugas,Oscar Roy,Oscar Roy Dugas,,,,The Midnight Ace,,,
Dumont,Dorothy,Dorothy Dumont,,,,The $10000 Trail,,,
Dunbar,Louise,Louise Dunbar,,,,The Green Eyed Monster,,,
Dunbar,Paul Lawrence,Paul Lawrence Dunbar,,,,,,,
Dunbar,Dorothy,Dorothy Dunbar,,,,The Flaming Crisis,,,
Duncan,Hadley J.,Hadley J. Duncan,,,,,,,
Duncan,Vernon S.,Vernon S. Duncan,,,,The Homesteader,,,
Duree,Robert,Robert Duree,Robert Dupree,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,Ghosts,Good Luck in Old Clothes,The Janitor",,,
Dyer,E.C,E.C Dyer,,,,Georgia Rose,,,
Easter,W.K.,W.K. Easter,,,,,,,
Easton,Sidney,Sidney Easton,,,,The Conjure Woman,,,
Eckert,Peter,Peter Eckert,,,,,,,
Edmondson,William,William Edmondson,William Edmundson,,,"Thirty Years Later,The Millionaire,The Midnight Ace",,,
Edwards,Mattie,Mattie Edwards,,,,"Within Our Gates,The Brute",,,
Edwards,Grant,Grant Edwards,,,,Within Our Gates,,,
Elkas,Edward,Edward Elkas,Ed Elkins,,,Birthright,,,
Ellenwood,Grace,Grace Ellenwood,,,,By Right of Birth,,,
Ellis,George W.,George W. Ellis,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,
Ellis,Evelyn,Evelyn Ellis,,,,A Son of Satan,,,
Elwald,Bertha,Bertha Elwald,,,,,,,
Europe,James Reese,James Reese Europe,,,,Clef Club Five Minutes for Train,,,
Evans,John T.,John T. Evans,,,,,,,
Evelyn,Mrs.,Mrs. Evelyn,Mrs. Evelyn,,,Within Our Gates,,,
Everett,Estelle,Estelle Everett,,,,The Law of Nature,,,
Everett,Munzell,Munzell Everett,,,,A Modern Cain,,,
Ewing,A.T.,A.T. Ewing,,,,,,,
Faltenburg,Master Henry,Master Henry Faltenburg,Master Henry Feltenburg,,,The $10000 Trail,,,
Farmer,Jacque,Jacque Farmer,,,,Nobody's Children,,,
Fenderson,Reginald,Reginald Fenderson,,12/28/11,8/16/86,Bargain with Bullets,,,
Fish,Albert A.,Albert A. Fish,,,,,,,
Fisher,Isaac,Isaac Fisher,,,,,,,
Flemings,Margaret,Margaret Flemings,,,,,,,
Fletcher,Tom,Tom Fletcher,,,,The Custard Nine,,,
Fletcher,Oroville,Oroville Fletcher,,,,Shadowed by the Devil,,,
Fletcher,Ethel,Ethel Fletcher,,,,The Troubles of Sambo and Dinah,,,
Flowers,Tiger,Tiger Flowers,,,,The Fighting Deacon,,,
Flynn,Jim,Jim Flynn,,,,Jack Johnson vs. Jim Flynn,,,
Folsom,Cora Mae,Cora Mae Folsom,,,,,,"The New Era,Cephas Returns",
Forbes,Randolpf ,Randolpf  Forbes,,,,,Slave Days,,
Forbes Randolf Kentuck Jubilee Singers,, Forbes Randolf Kentuck Jubilee Singers,,,,"Pickin' Cotton,Slave Days",,,
Ford,John,John Ford,,,,,Arrowsmith,,
Forrest,Edgar,Edgar Forrest,,,,,The Sport of the Gods,,
Foster,William,William Foster,Juli Jones,,4/19/40,,"The Barber,The Colored Championship Base Ball Game,8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Mother,Smile Film of Colored Troops' Folks,YMCA Dedication,Birth Mark,Brother,Fool and Fire,A Woman's Worst Enemy","The Barber,The Colored Championship Base Ball Game,8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Mother,Smile Film of Colored Troops' Folks,YMCA Dedication,Birth Mark,Fool and Fire,Brother,The Butler,A Woman's Worst Enemy,The Grafter and the Maid","Smile Film of Colored Troops' Folks,The Butler,The Grafter and the Maid,YMCA Dedication"
Foster,"Andrew ""Rube""","Andrew ""Rube"" Foster",,,,The Colored Championship Base Ball Game,,,
Foster,Daisy,Daisy Foster,,,,The Broken Violin,,,
Fountaine,William E.,William E. Fountaine,,,,"Uncle Jasper's Will,The Dungeon,The Virgin of Seminole",,,
Fox,George,George Fox,,,,The Fall of the Mighty,,,
Fox,Harry,Harry Fox,,,,A Giant of His Race,,,
Foy,Bryan,Bryan Foy,,,,,Hazel Green and Company,,
Fraction,Edward,Edward Fraction,,,,The Symbol of the Unconquered,,,
Franklin,Wendell,Wendell Franklin,,,,,,,
Freeman,Ruth,Ruth Freeman,,,,A Shot in the Night,,,
Frisbie,Maud,Maud Frisbie,,,,The Love Bug,,,
Frye,Arthur,Arthur Frye,A Couple of Blackbirds,,,How High Is Up?,,,
Fullen,Louise,Louise Fullen,,,,"Come Back,The Comeback",,,
Gaines,Charles,Charles Gaines,,,,Regeneration,,,
Gaines,Al,Al Gaines,,,,The Brute,,,
Galezio,Leonard,Leonard Galezio,,,,Deceit,,,
Gant,Harry,Harry Gant,,,,,Absent,Absent,"Absent,A Day with the Tenth Cavalry at Fort Huachaca,The Heart of A Negro,By Right of Birth,A Man's Duty,The Law of Nature,The Trooper of Company K,The Realization of a Negro's Ambition"
Garbutt,Wanda,Wanda Garbutt,,,,A Giant of His Race,,,
Gaytzera,Anthony,Anthony Gaytzera,,,,The Midnight Ace,,,
George,Beatrice,Beatrice George,,,,By Right of Birth,,,
George,William,William George,,,,The Homesteader,,,
Gibbens,Bessie,Bessie Gibbens,Bessie Givens,,,"The Wages of Sin,When Men Betray,The Midnight Ace",,,
Gibson,Mae,Mae Gibson,,,,Hearts of the Woods,,,
Gilbert,Mercedes,Mercedes Gilbert,,7/26/1894,3/1/52,"Body and Soul,The Call of His People",,,
Gilliam,Allie,Allie Gilliam,,,,Uncle Remus' First Visit to New York,,,
Gilpin,Charles,Charles Gilpin,,1/1/1879,,"The Scar of Shame,A Prince of His Race,Ten Nights in a Bar-Room ,Mandy's Choice",,,
Goldman,Lawrence,Lawrence Goldman,,,,,,The Flaming Crisis,
Goodman,J.K.,J.K. Goodman,,,,The Dungeon,,,
Gorgas,Alice,Alice Gorgas,,,,The Brute,,,
Gorman,Grant,Grant Gorman,,,,Within Our Gates,,,
Goudal,Jetta,Jetta Goudal,,,,,,,
Gourdin,Ned,Ned Gourdin,,,,Peacock News Reel #2,,,
Gradie,Lottie,Lottie Gradie,Lottie Grady,,,"The Grafter and the Maid,The Railroad Porter",,,
Graham,Thomas,Thomas Graham,,,,,,,
Grant,H.C.,H.C. Grant,,,,The Wife Hunters,Georgia Rose,,
Gray,Ethel,Ethel Gray,,,,A Man's Duty,,,
Green,Eddie,Eddie Green,,,,Eddie Green's Rehearsal,Eddie Green's Rehearsal,Eddie Green's Rehearsal,
Green,Joe,Joe Green,,,,Nobody's Children,,,
Green ,Sarah,Sarah Green ,,,,Mandy's Choice,,,
Gregory,Dick,Dick Gregory,,,,,,,
Griffin,Alex,Alex Griffin,,,,Nobody's Children,,,
Groner,Louis,Louis Groner,,,,,,"A Prince of His Race,Ten Nights in a Bar-Room ",
Guilford,Willor Lee,Willor Lee Guilford,,,,"A Daughter of the Congo,Easy Street",,,
Gulport,Billy,Billy Gulport,,,,Spider's Web,,,
Guyse,Sheila,Sheila Guyse,,,,Boy What a Girl,,,
Hackett,LeRoy,LeRoy Hackett,,,,,,,
Haddon,Pete,Pete Haddon,,,,"The Bull-Dogger,The Crimson Skull",,,
Hall,Lindsay J.,Lindsay J. Hall,,,,The Sport of the Gods,,,
Hall,Beulah,Beulah Hall,,,,"The Trooper of Company K,The Realization of a Negro's Ambition",,,
Hall,Iris,Iris Hall,,,,"The Homesteader,The Symbol of the Unconquered",,,
Hall Johnson Chorus,, Hall Johnson Chorus,Hall Johnson Choir,,,St. Louis Blues,,,
Handy,W.C.,W.C. Handy,,,,,,,
Hanson,Robert,Robert Hanson,,,,,,,
Harding,Daisy,Daisy Harding,,,,A Daughter of the Congo,,,
Hargrave,Myrtle,Myrtle Hargrave,,,,,,,
Harper,Billy,Billy Harper,,,,"Uncle Remus' First Visit to New York,Mandy's Choice",,,
Harper,Leonard,Leonard Harper,,4/9/1889,2/10/43,The Exile,The Exile,,
Harrington,Hamtree,Hamtree Harrington,,,,Gayety,,,
Harris,Stella,Stella Harris,,,,The Barber,,,
Harris,Clifford,Clifford Harris,,,,Hearts of the Woods,,,
Harris,Leorine,Leorine Harris,,,,Uncle Remus' First Visit to New York,,,
Harris,Henry,Henry Harris,,,,Foolish Lives,,,
Harris,LaFont,LaFont Harris,,,,Within Our Gates,,,
Harris,Harriet,Harriet Harris,,,,A Modern Cain,,,
Harris,Theresa,Theresa Harris,,,,Bargain with Bullets,,,
Harrison,Richard B.,Richard B. Harrison,,,,"Easy Street,The Grafter and the Maid",,,
Harritage,C.,C. Harritage,,,,A Giant of His Race,,,
Hart,Fred,Fred Hart,,,,His Great Chance,,,
Hawley,Monte,Monte Hawley,,,,A Son of Satan,,,
Hayes,Helen,Helen Hayes,,,,Arrowsmith,,,
Haynes,Hunter,Hunter Haynes,,,,,"The Tango Queen,Uncle Remus' First Visit to New York,Haynes Newsreel No. 1,Haynes Newsreel No. 2,Haynes Newsreel No. 3","The Tango Queen,Love Me Love My Dog,Uncle Remus' First Visit to New York,Mandy's Choice,Haynes Newsreel No. 1,Haynes Newsreel No. 2,Haynes Newsreel No. 3",
Haywood,Ginn,Ginn Haywood,,,,,The Custard Nine,,
Henderson,Harry,Harry Henderson,,,,"Smiling Hate,Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ,The Scar of Shame",,,
Henderson,Frances,Frances Henderson,,,,The $10000 Trail,,,
Henry,Milton,Milton Henry,,,,Deceit,,,
Herman,Kid,Kid Herman,Will,,,The $10000 Trail,,,
Herndon,Cleo,Cleo Herndon,,,,,,,
Heywood,Don,Don Heywood,Don Heywood and His Band,,,The Exile,,,
Hill,W.,W. Hill,Pickaninny Hill,,,The Broken Violin,,,
Hind,Rudolph,Rudolph Hind,,,,The Wages of Sin,,,
Hoelby,Walter,Walter Hoelby,,,,A Shot in the Night,,,
Holder,Roland,Roland Holder,,10/24/1896,1/13/67,The Exile,,,
Holman,Ernest William,Ernest William Holman,E.W.,,,,,,
Holt,Anna,Anna Holt,,,,The Barber,,,
Hopton,King Russell,King Russell Hopton,,,,Arrowsmith,,,
Horn,P. D.,P. D. Horn,,,,Black Gold,,,
Horne,Boots,Boots Horne,Boots Hope,,,The Broken Violin,,,
Hotaling,Arthur D. ,Arthur D.  Hotaling,,,,,,,
Howard,Shingzie,Shingzie Howard,,,,"The House Behind the Cedars,The Scar of Shame,Uncle Jasper's Will,Children of Fate,The Dungeon,St. Louis Blues,The Virgin of Seminole,A Son of Satan,A Prince of His Race",,,
Hyson,Roberta,Roberta Hyson,,,,"Georgia Rose,Oft in the Silly Night",,,
Irving,Roland,Roland Irving,,,,A Daughter of the Congo,,,
Jacks,Samuel,Samuel Jacks,"Sambo Jacks, Samuel Jaques",,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Within Our Gates,A Reckless Rover,Shine Johnson and the Rabbit Foot,The Millionaire,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Good Luck in Old Clothes",,,
Jackson,Alonzo,Alonzo Jackson,,,,Children of Fate,,,
Jackson,Al,Al Jackson,,,,Boy What a Girl,,,
Jackson,Zodiac,Zodiac Jackson,,,,Spider's Web,,,
Jeannette,Joe,Joe Jeannette,Joe Jannette,,,Square Joe,,,
Jeffrey,Herbert,Herbert Jeffrey,,,,Harlem Rides The Range,,,
Jenkins,Wesley,Wesley Jenkins,,,,The Custard Nine,,,
Jenkins,Bo,Bo Jenkins,,,,,,,
Johnson,Noble,Noble Johnson,,4/18/1881,1/9/78,"Body and Soul,The Trooper of Company K,The Realization of a Negro's Ambition,The Law of Nature","The Realization of a Negro's Ambition,The Trooper of Company K",A Man's Duty,
Johnson,George,George Johnson,,,1/1/77,,The Law of Nature,"The Realization of a Negro's Ambition,The Trooper of Company K,The Law of Nature,A Man's Duty",
Johnson,Lillian,Lillian Johnson,,,,Body and Soul,,,
Johnson,Maud,Maud Johnson,,,,The Love Bug,,,
Johnson,William,William Johnson,,,,Ten Nights in a Bar-Room ,,,
Johnson,Jack,Jack Johnson,,,1/1/46,"As the World Rolls On,For His Mother's Sake,Black Thunderbolt,Jack Johnson vs. Jim Flynn,The Man in Ebony ",,,
Johnson,John Lester,John Lester Johnson,,,,"Square Joe,The Flames of Wrath",,,
Johnson,Ralph,Ralph Johnson,,,,Within Our Gates,,,
Johnson,Eva,Eva Johnson,,,,A Man's Duty,,,
Johnson,Dora Jean,Dora Jean Johnson,,,,Georgia Rose,,,
Johnson ,Rosamund,Rosamund Johnson ,,,,,,,
Johnstone,Norman,Norman Johnstone,,,,"Deceit,The Scar of Shame",,,
Jones,Henry,Henry Jones,"Henry ""Teenan"" Jones",,,,,,
